"id","question","options_json","english_level","correct_index"
"7805","The helicopter __ on the building.","[""cooked"", ""landed"", ""wrote"", ""played""]","1","1"
"7922","My company wants to be __.","[""more short"", ""more house"", ""more down"", ""more global""]","1","3"
"7925","The news on TV is __ now.","[""more cold"", ""more chair"", ""more global"", ""more tree""]","1","2"
"7982","My father will __ money for me.","[""invest"", ""cook"", ""write"", ""drive""]","1","0"
"8012","Wait for me on the __.","[""kitchen"", ""road"", ""garden"", ""landing""]","1","3"
"8014","I saw the beautiful bird __.","[""reading"", ""writing"", ""landing"", ""talking""]","1","2"
"8221","The farmer works on his __.","[""books"", ""lands"", ""cars"", ""pens""]","1","1"
"8251","I like __ in the swimming pool.","[""diving"", ""sleeping"", ""running"", ""eating""]","1","0"
"8254","Is it safe __ here?","[""talking"", ""diving"", ""standing"", ""shouting""]","1","1"
"8343","Our college has a very good __.","[""faculty"", ""gate"", ""tree"", ""road""]","1","0"
"8462","My grandfather owns many fertile __.","[""books"", ""pens"", ""lands"", ""chairs""]","1","2"
"8583","She is __ in a small business.","[""investing"", ""crying"", ""drawing"", ""jumping""]","1","0"
"8585","Are you __ in the share market?","[""dancing"", ""investing"", ""reading"", ""cooking""]","1","1"
"8702","I __ the button for the lift.","[""walked"", ""drank"", ""pushed"", ""wrote""]","1","2"
"8703","She __ the cart in the supermarket.","[""jumped"", ""sang"", ""cooked"", ""pushed""]","1","3"
"8764","He is the __ leader in the company.","[""most red"", ""most forward-thinking"", ""most slow"", ""most loud""]","1","1"
"8823","I am __ the button for the lift.","[""seeing"", ""hearing"", ""pushing"", ""running""]","1","2"
"8824","Are you __ the shopping cart?","[""drinking"", ""sitting"", ""writing"", ""pushing""]","1","3"
"8825","We are __ the table to the wall.","[""playing"", ""opening"", ""pushing"", ""closing""]","1","2"
"8911","The tea is __ hot.","[""big"", ""slow"", ""red"", ""very""]","1","3"
"9272","I have __ food for my lunch.","[""happy"", ""red"", ""fast"", ""sufficient""]","1","3"
"9274","We need __ time to reach the station.","[""slow"", ""quick"", ""empty"", ""sufficient""]","1","3"
"9422","We __ the cat took the fish.","[""play"", ""drink"", ""suspect"", ""write""]","1","2"
"9451","The poster is __ the wall.","[""ate with"", ""jumped on"", ""ran from"", ""stuck to""]","1","3"
"9904","Why is that paper __ your hand?","[""sitting on"", ""flying from"", ""sticking to"", ""walking on""]","1","2"
"9932","I __ he took my book.","[""played"", ""suspected"", ""cooked"", ""walked""]","1","1"
"10111","The glue __ the paper.","[""eats"", ""runs"", ""sticks to"", ""sleeps""]","1","2"
"10114","My little sister always __ me.","[""cries"", ""plays"", ""jumps"", ""sticks to""]","1","3"
"10323","He got a new toy. He is __.","[""satisfied"", ""bored"", ""tired"", ""sad""]","1","0"
"10503","My teacher is __ with my work.","[""loud"", ""blue"", ""satisfied"", ""heavy""]","1","2"
"11162","She can choose her own path. This is __.","[""self-direction"", ""singing"", ""cooking"", ""running""]","1","0"
"11163","To learn on your own, you need __.","[""a car"", ""a pen"", ""self-direction"", ""a house""]","1","2"
"11165","I do my homework alone. I use __.","[""a plate"", ""self-direction"", ""a song"", ""a game""]","1","1"
"11193","We need __ of the 'no-talking' rule.","[""enforcement"", ""colour"", ""paper"", ""school""]","1","0"
"11195","The captain is in charge of __.","[""cold"", ""enforcement"", ""fast"", ""yellow""]","1","1"
"11284","My little garden can __ tomatoes.","[""cry"", ""fly"", ""draw"", ""yield""]","1","3"
"11313","This offer is __ only for today.","[""sad"", ""cold"", ""small"", ""valid""]","1","3"
"11492","I like to read __ books.","[""games"", ""water"", ""fiction"", ""music""]","1","2"
"11495","That Bollywood movie is science __.","[""class"", ""test"", ""fiction"", ""lunch""]","1","2"
"11584","Her excuse seemed __ than his excuse.","[""more loud"", ""more soft"", ""more hungry"", ""more valid""]","1","3"
"11644","My father walks at the __ pace.","[""kindest"", ""loudest"", ""slowest"", ""briskest""]","1","3"
"11852","You need the __ pass to enter.","[""most clean"", ""most funny"", ""most new"", ""most valid""]","1","3"
"11914","His painting has many __ details.","[""sleep"", ""read"", ""elaborate"", ""big""]","1","2"
"11941","I will use this pen to __ the words.","[""highlight"", ""write"", ""see"", ""read""]","1","0"
"11943","The teacher will __ the correct answers.","[""sing"", ""highlight"", ""draw"", ""play""]","1","1"
"12363","Is this the right way? Yes, __.","[""later"", ""absolutely"", ""softly"", ""sometimes""]","1","1"
"12871","I watched the cricket __.","[""highlights"", ""trees"", ""pencils"", ""bags""]","1","0"
"12874","These are the __ of the show.","[""chairs"", ""food"", ""doors"", ""highlights""]","1","3"
"13083","My sister wants red __ for her birthday.","[""highlights"", ""pens"", ""bags"", ""shoes""]","1","0"
"13085","I like the golden __ you have.","[""stories"", ""plates"", ""bottles"", ""highlights""]","1","3"
"13502","The homework was too much and __.","[""overwhelming"", ""easy"", ""blue"", ""happy""]","1","0"
"13715","I can't remember. My mind is __.","[""blank"", ""full"", ""good"", ""new""]","1","0"
"13981","This big job is __.","[""more overwhelming"", ""more small"", ""more red"", ""more slow""]","1","0"
"13982","The loud noise was __.","[""more green"", ""more tasty"", ""more quiet"", ""more overwhelming""]","1","3"
"13983","This problem feels __ than before.","[""more overwhelming"", ""more blue"", ""more easy"", ""more cold""]","1","0"
"14162","An open door makes a house __.","[""more safe"", ""more vulnerable"", ""more new"", ""more big""]","1","1"
"14374","The list of tasks was __.","[""most simple"", ""most red"", ""most overwhelming"", ""most short""]","1","2"
"14583","The cat wants to __ the mouse.","[""eat"", ""trap"", ""run"", ""see""]","1","1"
"14915","She is my only __ here.","[""shop"", ""bus"", ""school"", ""companion""]","1","3"
"15034","A __ asked me for directions to the market.","[""driver"", ""friend"", ""father"", ""stranger""]","1","3"
"15181","The movie we watched was __.","[""sad"", ""epic"", ""blue"", ""slow""]","1","1"
"15185","My holiday trip to Goa was __.","[""hot"", ""epic"", ""bad"", ""small""]","1","1"
"15661","The shop near my home is __.","[""convenient"", ""slow"", ""red"", ""happy""]","1","0"
"15751","The new superhero movie was __.","[""more slow"", ""more red"", ""more epic"", ""more small""]","1","2"
"15754","The adventure in the book was __.","[""more down"", ""more round"", ""more left"", ""more epic""]","1","3"
"15994","I can hear your __ clearly.","[""voice"", ""water"", ""house"", ""food""]","1","0"
"16111","The lift is __ than stairs.","[""more hungry"", ""more convenient"", ""more funny"", ""more tall""]","1","1"
"16294","The view from the mountain was __.","[""very dark"", ""very low"", ""very bad"", ""most epic""]","1","3"
"16295","His story was the __ adventure!","[""most epic"", ""most scary"", ""most boring"", ""most sleepy""]","1","0"
"16474","My parents' __ are always calm.","[""rice"", ""shoes"", ""cars"", ""voices""]","1","3"
"16621","This is the __ time to call me.","[""heavy"", ""long"", ""red"", ""most convenient""]","1","3"
"16622","What is the __ way to go there?","[""blue"", ""round"", ""hot"", ""most convenient""]","1","3"
"16684","The remote control changes the __.","[""light"", ""wall"", ""channel"", ""floor""]","1","2"
"16685","Please change the TV __ to news.","[""plate"", ""door"", ""water"", ""channel""]","1","3"
"16744","Winning the match gave her __.","[""book"", ""self-confidence"", ""slow"", ""cold""]","1","1"
"16833","My computer screen is the __.","[""newest"", ""blankest"", ""fastest"", ""loudest""]","1","1"
"16834","I need the __ page to draw on.","[""darkest"", ""heaviest"", ""longest"", ""blankest""]","1","3"
"17075","The class teaches __ to kids.","[""self-defense"", ""history"", ""music"", ""math""]","1","0"
"17102","The busy manager __ all day.","[""cried"", ""multitasked"", ""played"", ""sang""]","1","1"
"17162","My TV has more than 100 __.","[""pens"", ""tables"", ""channels"", ""songs""]","1","2"
"17165","The farm has small water __.","[""channels"", ""pictures"", ""shoes"", ""spoons""]","1","0"
"17252","The tea is, __, very hot.","[""book"", ""run"", ""you know"", ""my""]","1","2"
"17254","I think, __, I left my keys.","[""uh"", ""water"", ""jump"", ""cold""]","1","0"
"17314","I want to be a __ like my uncle.","[""software developer"", ""cat"", ""house"", ""table""]","1","0"
"17522","Water is a __ thing for life.","[""happy"", ""valuable"", ""loud"", ""red""]","1","1"
"17612","The price __ is from ₹100 to ₹500.","[""home"", ""range"", ""book"", ""food""]","1","1"
"17791","They make mobile apps. They are __.","[""drivers"", ""doctors"", ""cooks"", ""software developers""]","1","3"
"17852","He __ goes to school by bus.","[""usually"", ""there"", ""well"", ""soon""]","1","0"
"17855","They __ visit their grandparents on Sunday.","[""usually"", ""soon"", ""here"", ""now""]","1","0"
"18003","Water is __ in the desert.","[""more valuable"", ""more green"", ""more soft"", ""more slow""]","1","0"
"18004","A good friend is very __.","[""more valuable"", ""more empty"", ""more round"", ""more sharp""]","1","0"
"18183","He is __ he broke the glass.","[""fast"", ""tall"", ""sorry"", ""sad""]","1","2"
"18184","Are you __ for shouting?","[""hungry"", ""cold"", ""new"", ""sorry""]","1","3"
"18275","Let's eat now and sleep __.","[""blue"", ""later"", ""cold"", ""high""]","1","1"
"18393","The palace looked __ in the sun.","[""most cold"", ""most magnificent"", ""most funny"", ""most quiet""]","1","1"
"18424","Please lower your __ in the library.","[""phones"", ""bottles"", ""pencils"", ""voices""]","1","3"
"18483","This diamond ring is very __.","[""most loud"", ""most hungry"", ""most valuable"", ""most soft""]","1","2"
"18514","The __ was about our city.","[""presentation"", ""door"", ""book"", ""hand""]","1","0"
"18515","I need to prepare my __.","[""sleep"", ""dinner"", ""presentation"", ""song""]","1","2"
"18541","The actors have their __.","[""roles"", ""pens"", ""foods"", ""bags""]","1","0"
"18631","This gulab jamun tastes very __.","[""good"", ""hot"", ""big"", ""red""]","1","0"
"18634","Rohan got __ marks in his exam.","[""low"", ""soft"", ""dark"", ""good""]","1","3"
"18691","I __ at 7 o'clock this morning.","[""ate"", ""woke up"", ""read"", ""danced""]","1","1"
"18811","Our plan needs a __ move.","[""hungry"", ""sleepy"", ""strategic"", ""blue""]","1","2"
"19023","This apple tastes __ than that one.","[""better"", ""round"", ""green"", ""small""]","1","0"
"19112","This is a __ move for our team.","[""more round"", ""more sleepy"", ""more strategic"", ""more soft""]","1","2"
"19351","Look at the clouds, it __ rain.","[""is"", ""might"", ""has"", ""do""]","1","1"
"19355","He __ come to the party.","[""is"", ""sleeps"", ""might"", ""walk""]","1","2"
"19415","Which is the __ movie?","[""best"", ""warm"", ""four"", ""sad""]","1","0"
"19564","My new shirt is __.","[""when"", ""okay"", ""run"", ""pen""]","1","1"
"19565","I am __. Please don't worry.","[""slow"", ""car"", ""big"", ""okay""]","1","3"
"19591","My father is a __.","[""project engineer"", ""player"", ""dancer"", ""singer""]","1","0"
"19594","He works as a __.","[""project engineer"", ""farmer"", ""driver"", ""student""]","1","0"
"19894","The office needs a __ look.","[""slow"", ""big"", ""tasty"", ""professional""]","1","3"
"19895","His work is very __.","[""cold"", ""old"", ""loud"", ""professional""]","1","3"
"19924","The students' ages are __ from 6 to 10.","[""crying"", ""ranging"", ""flying"", ""driving""]","1","1"
"19952","Water can __ from the tap.","[""eat"", ""flow"", ""sleep"", ""walk""]","1","1"
"19955","Let the cool air __ inside.","[""stand"", ""play"", ""sit"", ""flow""]","1","3"
"19983","They are __ at the big company.","[""cars"", ""houses"", ""project engineers"", ""flowers""]","1","2"
"20192","The doctor will do an __ tomorrow.","[""song"", ""operation"", ""game"", ""party""]","1","1"
"20253","The man __ the suitcase onto the train.","[""walked"", ""talked"", ""lifted"", ""saw""]","1","2"
"20315","Lawyers are legal __.","[""writers"", ""professionals"", ""dancers"", ""artists""]","1","1"
"20465","His mood __ from happy to sad.","[""ranges"", ""drives"", ""reads"", ""cooks""]","1","0"
"20581","The doctor will perform the __ tomorrow.","[""operations"", ""games"", ""songs"", ""stories""]","1","0"
"20585","The hospital needs money for new __.","[""operations"", ""windows"", ""holidays"", ""letters""]","1","0"
"20761","The captain gave a __.","[""command"", ""food"", ""water"", ""song""]","1","0"
"20765","I follow my mother's __.","[""command"", ""hand"", ""food"", ""house""]","1","0"
"20823","My mother makes good __.","[""loud noise"", ""heavy box"", ""fast car"", ""comfort food""]","1","3"
"20971","My friends and I have good __.","[""books"", ""relationships"", ""songs"", ""chairs""]","1","1"
"21151","I am learning English __.","[""here and there"", ""step by step"", ""up and down"", ""now and then""]","1","1"
"21154","Follow the recipe __.","[""loudly"", ""very much"", ""step by step"", ""so and so""]","1","2"
"21213","They saw a __ movie.","[""pen"", ""romance"", ""water"", ""table""]","1","1"
"21215","Their __ started in college.","[""tree"", ""road"", ""romance"", ""chair""]","1","2"
"21242","Her long hair was __ in the wind.","[""running"", ""eating"", ""talking"", ""flowing""]","1","3"
"21243","Water is __ from the tap.","[""flowing"", ""walking"", ""crying"", ""flying""]","1","0"
"21274","They are __ the table together.","[""sleeping"", ""walking"", ""lifting"", ""flying""]","1","2"
"21482","A __ helps you in a big museum.","[""singer"", ""teacher"", ""guide"", ""farmer""]","1","2"
"21543","Please be __ and wait here.","[""fast"", ""patient"", ""red"", ""big""]","1","1"
"21573","The story is a big __.","[""pencil"", ""road"", ""table"", ""mystery""]","1","3"
"21662","Water __ from the leaky tap.","[""talks"", ""sleeps"", ""flows"", ""runs""]","1","2"
"21663","Hot chai __ from the kettle.","[""walks"", ""plays"", ""flows"", ""cries""]","1","2"
"21664","The rainwater __ down the street.","[""reads"", ""writes"", ""sits"", ""flows""]","1","3"
"21692","What is your __ phone number?","[""fast"", ""tall"", ""personal"", ""happy""]","1","2"
"21693","My bag has my __ things inside.","[""personal"", ""open"", ""slow"", ""cold""]","1","0"
"21694","The teacher knows my __ name.","[""personal"", ""green"", ""soft"", ""heavy""]","1","0"
"21695","This is my __ chair. You can't sit here.","[""old"", ""personal"", ""blue"", ""nice""]","1","1"
"21812","My older sister __ me home.","[""played"", ""read"", ""drank"", ""guided""]","1","3"
"21873","He has a __ fever.","[""funny"", ""blue"", ""serious"", ""nice""]","1","2"
"21874","Please be quiet, this is __.","[""fast"", ""yellow"", ""serious"", ""round""]","1","2"
"21961","The doctor helps sick __.","[""drivers"", ""patients"", ""cooks"", ""students""]","1","1"
"22024","Open the __ to enter.","[""box"", ""bottle"", ""bag"", ""door""]","1","3"
"22142","It was just a __, don't be sad.","[""water"", ""tree"", ""joke"", ""game""]","1","2"
"22143","I did not like his __.","[""house"", ""car"", ""pen"", ""joke""]","1","3"
"22263","The teacher said, ""Be __, children.""","[""more small"", ""more fast"", ""more patient"", ""more blue""]","1","2"
"22355","Blood __ through our whole body.","[""talks"", ""cooks"", ""listens"", ""flows""]","1","3"
"22441","My room has two __.","[""chairs"", ""beds"", ""doors"", ""lights""]","1","2"
"22442","Please close the __.","[""food"", ""book"", ""water"", ""doors""]","1","3"
"22474","Write one __ about your family.","[""picture"", ""bottle"", ""car"", ""sentence""]","1","3"
"22501","His fever is __ today.","[""more full"", ""more tall"", ""more happy"", ""more serious""]","1","3"
"22532","That is a very good __.","[""observation"", ""table"", ""road"", ""running""]","1","0"
"22594","The magician will __ a bird.","[""write"", ""reveal"", ""sit"", ""read""]","1","1"
"22595","He will __ his new phone.","[""dance"", ""draw"", ""reveal"", ""listen""]","1","2"
"22803","I shared my __ feelings with my mom.","[""most personal"", ""most open"", ""most heavy"", ""most round""]","1","0"
"22804","My room is my __ space at home.","[""most cheap"", ""most public"", ""most personal"", ""most green""]","1","2"
"22805","She keeps her __ thoughts in a box.","[""most new"", ""most blue"", ""most big"", ""most personal""]","1","3"
"22831","My grandmother is the __ person.","[""most patient"", ""most new"", ""most round"", ""most blue""]","1","0"
"22833","My dad is the __ driver.","[""most fast"", ""most patient"", ""most red"", ""most slow""]","1","1"
"22865","Our house is at the __ of the park.","[""bench"", ""gate"", ""tree"", ""edge""]","1","3"
"22925","He has a unique writing __.","[""page"", ""book"", ""style"", ""pen""]","1","2"
"22951","The doctor said it was not a __ problem.","[""most serious"", ""most hot"", ""most blue"", ""most new""]","1","0"
"22981","The teacher writes __ on the board.","[""cars"", ""songs"", ""sentences"", ""food""]","1","2"
"22982","Please read these two __ aloud.","[""sentences"", ""pictures"", ""tables"", ""water""]","1","0"
"23041","The teacher made some __ on my work.","[""observations"", ""games"", ""colors"", ""songs""]","1","0"
"23248","The paper has sharp __.","[""colors"", ""edges"", ""smells"", ""names""]","1","1"
"23253","My table has smooth __.","[""edges"", ""lights"", ""water"", ""songs""]","1","0"
"23255","I like the __ of this book.","[""tastes"", ""noises"", ""edges"", ""sounds""]","1","2"
"23341","The sizes of these T-shirts __.","[""see"", ""vary"", ""eat"", ""run""]","1","1"
"23431","The big ship will __ in the water.","[""make friends"", ""make noise"", ""make waves"", ""make food""]","1","2"
"23435","The wind will __ on the sea.","[""make waves"", ""make a cake"", ""make a promise"", ""make a list""]","1","0"
"23462","The video has no __.","[""hand"", ""audio"", ""leg"", ""chair""]","1","1"
"23464","Please send the __ file.","[""paper"", ""money"", ""audio"", ""lunch""]","1","2"
"23555","The teacher saw the students __.","[""joking"", ""opening"", ""drinking"", ""flying""]","1","0"
"23611","My __ dream is to visit Mumbai.","[""ultimate"", ""fast"", ""small"", ""cold""]","1","0"
"23615","Watching the movie was the __ fun.","[""first"", ""ultimate"", ""long"", ""tall""]","1","1"
"23794","She __ her new phone to us.","[""cooked"", ""played"", ""revealed"", ""wrote""]","1","2"
"23972","Do you __ a car?","[""possess"", ""read"", ""walk"", ""sleep""]","1","0"
"23975","She does not __ a mobile phone.","[""play"", ""drink"", ""possess"", ""draw""]","1","2"
"24091","My friend tells funny __.","[""games"", ""songs"", ""jokes"", ""books""]","1","2"
"24211","I write in my __ every day.","[""diary"", ""table"", ""shoe"", ""spoon""]","1","0"
"24213","She keeps a secret __ under her bed.","[""car"", ""fan"", ""diary"", ""cloud""]","1","2"
"24363","I speak Marathi as my __.","[""village road"", ""favorite color"", ""mother tongue"", ""game time""]","1","2"
"24603","The sun __ the beautiful mountains.","[""listens"", ""walks"", ""reveals"", ""sings""]","1","2"
"24633","The stone __ when I threw it.","[""danced slowly"", ""spoke loudly"", ""made waves"", ""ate lunch""]","1","2"
"24841","She wears new __ of clothes.","[""styles"", ""books"", ""rooms"", ""pens""]","1","0"
"24845","My friend has many __ of bags.","[""cars"", ""homes"", ""dogs"", ""styles""]","1","3"
"24872","The soldiers will __ tomorrow morning.","[""sleep"", ""play"", ""advance"", ""eat""]","1","2"
"24873","Please __ to the next line.","[""advance"", ""stop"", ""sit"", ""read""]","1","0"
"24902","Helping the old woman was an act of __.","[""food"", ""humanity"", ""sleep"", ""anger""]","1","1"
"25022","The baby's first step was the __.","[""happiest"", ""fastest"", ""loudest"", ""wobbliest""]","1","3"
"25025","That small wooden stool is the __.","[""wobbliest"", ""coldest"", ""darkest"", ""heaviest""]","1","0"
"25053","After exams, students want to __.","[""worry"", ""de-stress"", ""shout"", ""study""]","1","1"
"25142","I like your __ for this.","[""eating"", ""playing"", ""jumping"", ""reasoning""]","1","3"
"25173","What do you __ for your birthday?","[""sing"", ""walk"", ""desire"", ""play""]","1","2"
"25175","They __ to see the new movie.","[""talk"", ""desire"", ""jump"", ""eat""]","1","1"
"25201","My job is __ work.","[""data entry"", ""cooking"", ""playing"", ""singing""]","1","0"
"25203","She is learning __ in class.","[""jumping"", ""data entry"", ""driving"", ""swimming""]","1","1"
"25291","The book has many __.","[""edges"", ""colours"", ""stories"", ""pictures""]","1","0"
"25294","The plate fell and broke with sharp __.","[""noises"", ""waters"", ""foods"", ""edges""]","1","3"
"25354","We had a __ about the time.","[""dog"", ""mix-up"", ""cat"", ""ball""]","1","1"
"25413","My uncle will be a __ at my wedding.","[""witness"", ""chair"", ""food"", ""song""]","1","0"
"25442","A nice holiday made me feel __.","[""late"", ""de-stressed"", ""hungry"", ""small""]","1","1"
"25472","My English is more __ now.","[""slow"", ""tall"", ""advanced"", ""happy""]","1","2"
"25535","This phone works, but __ it is broken.","[""technically"", ""happily"", ""loudly"", ""sadly""]","1","0"
"25561","I make many __ on the computer.","[""songs"", ""data entries"", ""phone calls"", ""pictures""]","1","1"
"25562","My job is to do __.","[""games"", ""dances"", ""lunches"", ""data entries""]","1","3"
"25565","He checks the __ for mistakes.","[""books"", ""data entries"", ""tea cups"", ""car keys""]","1","1"
"25592","This is the __ colour I wanted.","[""long"", ""soft"", ""cold"", ""desired""]","1","3"
"25594","He cooked the __ meal for me.","[""red"", ""desired"", ""tall"", ""slow""]","1","1"
"25983","My uncle wants to __ his small shop.","[""wash"", ""sing"", ""expand"", ""play""]","1","2"
"25984","Our city will __ in the next five years.","[""read"", ""expand"", ""drink"", ""jump""]","1","1"
"26072","He is in an __ class.","[""small"", ""red"", ""advanced"", ""happy""]","1","2"
"26101","After my nap, I felt __.","[""hungry"", ""de-stressed"", ""sad"", ""angry""]","1","1"
"26102","Music makes me feel so __.","[""tall"", ""cold"", ""blue"", ""de-stressed""]","1","3"
"26164","Can you __ the cards?","[""drink"", ""mix"", ""write"", ""talk""]","1","1"
"26371","I __ a big fight on the road.","[""slept"", ""ate"", ""witnessed"", ""wrote""]","1","2"
"26433","My new shop is bigger. It has __.","[""ran"", ""cried"", ""flew"", ""expanded""]","1","3"
"26435","My tummy __ after the big biryani meal.","[""listened"", ""expanded"", ""talked"", ""drew""]","1","1"
"26645","She bought __ vegetable sabzi.","[""mixed"", ""green"", ""hot"", ""new""]","1","0"
"26761","The drummer can __ the drums.","[""read"", ""eat"", ""beat"", ""sit""]","1","2"
"26914","This medicine gives __ from my headache.","[""colour"", ""sound"", ""relief"", ""tree""]","1","2"
"26942","Technology __ every day.","[""plays"", ""sings"", ""advances"", ""runs""]","1","2"
"27001","The balloon __ and then burst.","[""expanded"", ""jumped"", ""ate"", ""slept""]","1","0"
"27003","My house is much bigger now, it is __.","[""walked"", ""talked"", ""expanded"", ""read""]","1","2"
"27032","The traffic was full of __.","[""fun"", ""food"", ""chaos"", ""sleep""]","1","2"
"27181","He likes to __ the drum.","[""beat"", ""read"", ""eat"", ""see""]","1","0"
"27273","My phone number is nine-eight-__-one.","[""two"", ""zero"", ""double"", ""fast""]","1","2"
"27515","Our project __ with new ideas.","[""falls"", ""advances"", ""breaks"", ""rests""]","1","1"
"27692","Exercise is __ for your body.","[""round"", ""sleepy"", ""new"", ""beneficial""]","1","3"
"27694","Drinking water is __ for everyone.","[""slow"", ""beneficial"", ""loud"", ""tall""]","1","1"
"27721","My mother has __ the eggs for the omelette.","[""seen"", ""read"", ""beaten"", ""walked""]","1","2"
"27722","The old dusty rug was __ outside.","[""drawn"", ""beaten"", ""sung"", ""eaten""]","1","1"
"27724","The cream must be __ for the cake.","[""beaten"", ""spoken"", ""driven"", ""closed""]","1","0"
"28115","The cook is __ the eggs in a bowl.","[""looking"", ""running"", ""beating"", ""sitting""]","1","2"
"28352","Your __ about me is wrong.","[""house"", ""water"", ""phone"", ""assumption""]","1","3"
"28441","Follow the hospital __.","[""games"", ""stories"", ""procedures"", ""songs""]","1","2"
"28473","Good sleep is the __ for you.","[""most quick"", ""most beneficial"", ""most round"", ""most angry""]","1","1"
"28474","Exercise is __ for us.","[""most new"", ""most beneficial"", ""most cold"", ""most square""]","1","1"
"28563","Your answer is __.","[""long"", ""slow"", ""logical"", ""happy""]","1","2"
"28564","Please think in a __ way.","[""bad"", ""good"", ""logical"", ""loud""]","1","2"
"28893","Be nice. He is a __ boy.","[""fast"", ""tall"", ""hungry"", ""sensitive""]","1","3"
"28921","Your idea is __ than mine.","[""more red"", ""more big"", ""more logical"", ""more cold""]","1","2"
"28922","This path is __ to the station.","[""more happy"", ""more logical"", ""more slow"", ""more yellow""]","1","1"
"28955","She __ her brother in chess.","[""sees"", ""beats"", ""helps"", ""likes""]","1","1"
"29222","I heard a loud __ outside.","[""crash"", ""light"", ""song"", ""smell""]","1","0"
"29224","My computer had a bad __.","[""crash"", ""food"", ""water"", ""chair""]","1","0"
"29225","The falling glass made a __.","[""song"", ""joke"", ""story"", ""crash""]","1","3"
"29374","Wearing a sweater is __ in winter.","[""most red"", ""most tall"", ""most happy"", ""most logical""]","1","3"
"29734","The plate fell and __ on the floor.","[""crashed"", ""played"", ""listened"", ""spoke""]","1","0"
"29913","My best friend is a __ person.","[""dear"", ""sad"", ""tall"", ""fast""]","1","0"
"29974","They have a __ meeting.","[""water"", ""my"", ""slow"", ""corporate""]","1","3"
"30213","He __ his new red bike.","[""cleaned"", ""bought"", ""painted"", ""crashed""]","1","3"
"30301","My father's new office is __.","[""more hungry"", ""more corporate"", ""more sleepy"", ""more red""]","1","1"
"30333","I will __ some snacks to the party.","[""play"", ""read"", ""talk"", ""bring""]","1","3"
"30361","The plan is __ simple.","[""slowly"", ""loudly"", ""sadly"", ""basically""]","1","3"
"30541","Please __ the cap to open the bottle.","[""twist"", ""eat"", ""sing"", ""run""]","1","0"
"30544","You __ the wet cloth to dry it.","[""talk"", ""twist"", ""walk"", ""sit""]","1","1"
"30631","Buying a house is a big __.","[""investment"", ""story"", ""color"", ""game""]","1","0"
"30633","Saving money is a smart __.","[""question"", ""reason"", ""investment"", ""number""]","1","2"
"30634","That gold is a safe __.","[""road"", ""water"", ""sleep"", ""investment""]","1","3"
"30903","He watches videos on __.","[""a small cat"", ""technical analysis"", ""the red bus"", ""my family""]","1","1"
